,title,author,isbn,cover_price,page_count,book_type,book_format,publication_date,publisher,cover_image,approximate_word_count,publication_year
0,The Devil You Know,Mike Carey,9780446197175,6.99,,NOVEL,ebook,2007-07-10,Orbit (US),http://ecx.images-amazon.com/images/I/51uK2qcQoiL.jpg,142100.0,2007
1,The Devil You Know,Mike Carey,9780316511766,15.99,406,NOVEL,tp,2018-03-27,Orbit (US),https://images-na.ssl-images-amazon.com/images/I/51rd7R8y1hL.jpg,142100.0,2018
2,The Devil's Right Hand,Lilith Saintcrow,9780316021425,6.99,391,NOVEL,pb,2007-09-01,Orbit (US),http://ecx.images-amazon.com/images/I/51mYofAd-mL.jpg,136850.0,2007
3,The Devil's Right Hand,Lilith Saintcrow,9780316019446,6.99,,NOVEL,ebook,2007-09-01,Orbit (US),http://ecx.images-amazon.com/images/I/51WcRu20T7L.jpg,136850.0,2007
4,Working for the Devil,Lilith Saintcrow,0316003131,6.99,384,NOVEL,pb,2007-09-01,Orbit (US),http://ecx.images-amazon.com/images/I/51VfQQlmhNL.jpg,134400.0,2007
5,Working for the Devil,Lilith Saintcrow,9780316019491,6.99,,NOVEL,ebook,2007-09-01,Orbit (US),http://ecx.images-amazon.com/images/I/51BHGCs66GL.jpg,134400.0,2007
6,The Innocent Mage,Karen Miller,9780316067805,6.99,642,NOVEL,pb,2007-09-01,Orbit (US),http://images.amazon.com/images/P/0316067806.01.LZZZZZZZ.jpg,224700.0,2007
7,The Innocent Mage,Karen Miller,9780316212793,6.99,,NOVEL,ebook,2011-12-01,Orbit (US),http://ecx.images-amazon.com/images/I/51eyifnanpL.jpg,224700.0,2011
8,The Electric Church,Jeff Somers,9780316021722,12.99,353+[9],NOVEL,tp,2007-09-01,Orbit (US),http://ecx.images-amazon.com/images/I/41CX84CY9LL.jpg,123550.0,2007
9,The Electric Church,Jeff Somers,9780316019385,6.99,,NOVEL,ebook,2007-09-25,Orbit (US),http://ecx.images-amazon.com/images/I/51Bdzy0RcLL.jpg,123550.0,2007
10,The Electric Church,Jeff Somers,9780316053938,7.99,390,NOVEL,pb,2009-09-01,Orbit (US),http://ecx.images-amazon.com/images/I/51QPPJKhe3L.jpg,123550.0,2009
11,Winterbirth,Brian Ruckley,9780316067690,14.99,541,NOVEL,tp,2007-09-01,Orbit (US),http://ecx.images-amazon.com/images/I/516mXcV7odL.jpg,189350.0,2007
12,Winterbirth,Brian Ruckley,9780316068062,7.99,655,NOVEL,pb,2008-05-01,Orbit (US),http://ecx.images-amazon.com/images/I/51-qxBPUzML.jpg,189350.0,2008
13,Winterbirth,Brian Ruckley,9780316068314,6.99,,NOVEL,ebook,2008-12-15,Orbit (US),http://ecx.images-amazon.com/images/I/519pdBxu0-L.jpg,189350.0,2008
14,Dead Man Rising,Lilith Saintcrow,9780316003148,6.99,x+380,NOVEL,tp,2007-09-01,Orbit (US),http://ecx.images-amazon.com/images/I/516A2mF7OSL.jpg,133000.0,2007
15,Dead Man Rising,Lilith Saintcrow,9780316019552,7.99,,NOVEL,ebook,2007-09-01,Orbit (US),http://ecx.images-amazon.com/images/I/414tppODUkL.jpg,133000.0,2007
16,Devices and Desires,K. J. Parker,0316003387,12.99,635,NOVEL,tp,2007-10-01,Orbit (US),http://images.amazon.com/images/P/0316003387.01.LZZZZZZZ.jpg,222250.0,2007
17,Devices and Desires,K. J. Parker,9780316077477,8.99,,NOVEL,ebook,2009-06-16,Orbit (US),http://ecx.images-amazon.com/images/I/51hii-vbvdL.jpg,222250.0,2009
