,title,author,isbn,cover_price,page_count,book_type,book_format,publication_date,publisher,cover_image
0,The Devil You Know,Mike Carey,9780446197175,$6.99,,NOVEL,ebook,2007-07-10,Orbit (US),http://ecx.images-amazon.com/images/I/51uK2qcQoiL.jpg
1,The Devil's Right Hand,Lilith Saintcrow,9780316021425,$6.99,391,NOVEL,pb,2007-09-00,Orbit (US),http://ecx.images-amazon.com/images/I/51mYofAd-mL.jpg
2,Working for the Devil,Lilith Saintcrow,0316003131,$6.99,384,NOVEL,pb,2007-09-00,Orbit (US),http://ecx.images-amazon.com/images/I/51VfQQlmhNL.jpg
3,The Innocent Mage,Karen Miller,9780316067805,$6.99,642,NOVEL,pb,2007-09-00,Orbit (US),http://images.amazon.com/images/P/0316067806.01.LZZZZZZZ.jpg
4,The Electric Church,Jeff Somers,9780316021722,$12.99,353+[9],NOVEL,tp,2007-09-00,Orbit (US),http://ecx.images-amazon.com/images/I/41CX84CY9LL.jpg
5,Winterbirth,Brian Ruckley,9780316067690,$14.99,541,NOVEL,tp,2007-09-00,Orbit (US),http://ecx.images-amazon.com/images/I/516mXcV7odL.jpg
6,Dead Man Rising,Lilith Saintcrow,9780316003148,$6.99,x+380,NOVEL,tp,2007-09-00,Orbit (US),http://ecx.images-amazon.com/images/I/516A2mF7OSL.jpg
7,Dead Man Rising,Lilith Saintcrow,9780316019552,$7.99,,NOVEL,ebook,2007-09-01,Orbit (US),http://ecx.images-amazon.com/images/I/414tppODUkL.jpg
8,The Devil's Right Hand,Lilith Saintcrow,9780316019446,$6.99,,NOVEL,ebook,2007-09-01,Orbit (US),http://ecx.images-amazon.com/images/I/51WcRu20T7L.jpg
9,Working for the Devil,Lilith Saintcrow,9780316019491,$6.99,,NOVEL,ebook,2007-09-01,Orbit (US),http://ecx.images-amazon.com/images/I/51BHGCs66GL.jpg
10,The Electric Church,Jeff Somers,9780316019385,$6.99,,NOVEL,ebook,2007-09-25,Orbit (US),http://ecx.images-amazon.com/images/I/51Bdzy0RcLL.jpg
11,Devices and Desires,K. J. Parker,0316003387,$12.99,635,NOVEL,tp,2007-10-00,Orbit (US),http://images.amazon.com/images/P/0316003387.01.LZZZZZZZ.jpg
12,"Once Bitten, Twice Shy",Jennifer Rardin,9780316020466,$12.99,291,NOVEL,tp,2007-10-00,Orbit (US),http://ecx.images-amazon.com/images/I/51RHTblCwlL.jpg
13,The Awakened Mage,Karen Miller,0316067814,$7.99,712,NOVEL,pb,date unknown,Orbit (US),http://ecx.images-amazon.com/images/I/51G%2BFGSYgbL.jpg
14,"Once Bitten, Twice Shy",Jennifer Rardin,9780316022750,$6.99,,NOVEL,ebook,2007-10-08,Orbit (US),http://ecx.images-amazon.com/images/I/51eHzqt4pFL.jpg
15,A Forest of Stars,Kevin J. Anderson,031600345X,$7.99,xvii+669,NOVEL,pb,2007-11-00,Orbit (US),http://ecx.images-amazon.com/images/I/41Ch2zsMXXL.jpg
16,Hidden Empire,Kevin J. Anderson,0316003441,$7.99,639,NOVEL,pb,2007-11-00,Orbit (US),http://ecx.images-amazon.com/images/I/41ndzQJw4ML.jpg
17,Horizon Storms,Kevin J. Anderson,0316003476,$7.99,xxvii+626,NOVEL,pb,2007-11-00,Orbit (US),http://ecx.images-amazon.com/images/I/514hu0sEbAL.jpg
18,Of Fire and Night,Kevin J. Anderson,9780316021739,$7.99,xiv+659,NOVEL,pb,2007-11-00,Orbit (US),http://www.isfdb.org/wiki/images/2/29/FFRNDNGHTB2007.jpg
19,Scattered Suns,Kevin J. Anderson,0316003484,$7.99,xvii+691,NOVEL,pb,2007-11-00,Orbit (US),http://ecx.images-amazon.com/images/I/51U7bKCWl8L.jpg
20,Evil for Evil,K. J. Parker,0316003395,$12.99,684,NOVEL,tp,2007-11-00,Orbit (US),http://ecx.images-amazon.com/images/I/612f1Pcd8VL.jpg
21,Saint City Sinners,Lilith Saintcrow,9780316021432,$6.99,371,NOVEL,pb,2007-11-00,Orbit (US),http://ecx.images-amazon.com/images/I/51vLxE6EUAL.jpg
22,Saint City Sinners,Lilith Saintcrow,9780316023276,$6.99,,NOVEL,ebook,2007-11-01,Orbit (US),http://ecx.images-amazon.com/images/I/51WaU2VpgjL.jpg
23,Metal Swarm,Kevin J. Anderson,9780316021746,$25.99,xiv+461,NOVEL,hc,2007-12-00,Orbit (US),http://www.isfdb.org/wiki/images/3/3b/MTLSWRMTHS2007.jpg
24,Another One Bites the Dust,Jennifer Rardin,9780316020572,$12.99,319,NOVEL,tp,2007-12-00,Orbit (US),http://ecx.images-amazon.com/images/I/41u71ENjppL.jpg
25,The Escapement,K. J. Parker,9780316003407,$12.99,409,NOVEL,tp,2007-12-00,Orbit (US),http://ecx.images-amazon.com/images/I/51XagOUVS%2BL.jpg
26,The Devil's Right Hand,Lilith Saintcrow,9780316021425,$6.99,391,NOVEL,pb,2007-09-00,Orbit (US),http://ecx.images-amazon.com/images/I/51mYofAd-mL.jpg
27,Metal Swarm,Kevin J. Anderson,9780316024044,$6.99,,NOVEL,ebook,2007-12-00,Orbit (US),http://ecx.images-amazon.com/images/I/413PMBXrqjL.jpg
28,Another One Bites the Dust,Jennifer Rardin,9780316023979,$6.99,,NOVEL,ebook,2007-12-12,Orbit (US),http://ecx.images-amazon.com/images/I/51rX3B-A88L.jpg
29,The Ashes of Worlds,Kevin J. Anderson,9780316007573,$25.99,xvii+491,NOVEL,hc,2008-07-00,Orbit (US),http://www.isfdb.org/wiki/images/e/eb/THSHSFWRLC2008.jpg
30,Debatable Space,Philip Palmer,9780316018920,$12.99,488,NOVEL,tp,2008-01-00,Orbit (US),http://www.isfdb.org/wiki/images/a/a8/DBTBLSPCVC2008.jpg
31,To Hell and Back,Lilith Saintcrow,9780316001779,$6.99,389+[16],NOVEL,pb,2008-01-00,Orbit (US),http://www.isfdb.org/wiki/images/9/99/THLLNDBCKD2008.jpg
32,Across the Face of the World,Russell Kirkpatrick,9780316003414,$7.99,701,NOVEL,pb,2008-01-01,Orbit (US),http://ecx.images-amazon.com/images/I/31C4FAJNJ5L.jpg
33,To Hell and Back,Lilith Saintcrow,9780316028394,$5.99,,NOVEL,ebook,2008-01-01,Orbit (US),http://ecx.images-amazon.com/images/I/51gNpyIuuML.jpg
34,Matter,Iain M. Banks,9780316005364,$25.99,593,NOVEL,hc,2008-02-00,Orbit (US),http://www.isfdb.org/wiki/images/8/80/MTTRKLMRJZ2008.jpg
35,Biting the Bullet,Jennifer Rardin,9780316020589,$12.99,315,NOVEL,tp,2008-02-00,Orbit (US),http://ecx.images-amazon.com/images/I/51wQ2A4C2wL.jpg
36,Matter,Iain M. Banks,9780316040723,$14.99,,NOVEL,ebook,2008-02-00,Orbit (US),
37,In the Earth Abides the Flame,Russell Kirkpatrick,9780316003421,$7.99,654,NOVEL,pb,2008-02-01,Orbit (US),http://ecx.images-amazon.com/images/I/41UCyDfIP1L.jpg
38,Biting the Bullet,Jennifer Rardin,9780316029063,$6.99,,NOVEL,ebook,2008-02-11,Orbit (US),http://ecx.images-amazon.com/images/I/41I3WrEjlcL.jpg
39,Consider Phlebas,Iain M. Banks,9780316005388,$12.99,527,NOVEL,tp,2008-03-00,Orbit (US),http://www.isfdb.org/wiki/images/8/8d/CNSDRPHLBS2008.jpg
40,The Player of Games,Iain M. Banks,9780316005401,$12.99,405,NOVEL,tp,2008-03-00,Orbit (US),http://www.isfdb.org/wiki/images/5/51/THPLRFGMSV2008.jpg
41,Black Ships,Jo Graham,9780316068000,$14.99,424,NOVEL,tp,2008-03-00,Orbit (US),http://www.isfdb.org/wiki/images/5/51/BLCKSHPSHR2008.jpg
42,The Right Hand of God,Russell Kirkpatrick,9780316003438,$7.99,xiv+665,NOVEL,pb,2008-03-01,Orbit (US),http://www.isfdb.org/wiki/images/1/10/THRGHTHNDF2008.jpg
43,Orphan's Destiny,Robert Buettner,9780316019132,$6.99,302,NOVEL,pb,2008-04-00,Orbit (US),http://ecx.images-amazon.com/images/I/51a9CX0mj2L.jpg
44,Orphan's Journey,Robert Buettner,9780316001731,$6.99,390+[13],NOVEL,pb,2008-04-00,Orbit (US),http://www.isfdb.org/wiki/images/a/ae/RPHNSJRNJS2008.jpg
45,Orphanage,Robert Buettner,9780316019125,$6.99,303,NOVEL,pb,2008-04-00,Orbit (US),http://ecx.images-amazon.com/images/I/51hjziZEqKL.jpg
46,Blood Ties,Pamela Freeman,9780316030403,$12.99,461,NOVEL,tp,2008-04-00,Orbit (US),http://ecx.images-amazon.com/images/I/51Pm0sJLUoL.jpg
47,Empress,Karen Miller,9780316008358,$7.99,717+[20],NOVEL,pb,2008-04-01,Orbit (US),http://ecx.images-amazon.com/images/I/51lMjADXwaL.jpg
48,Empress,Karen Miller,9780316032049,$6.99,,NOVEL,ebook,2008-04-01,Orbit (US),http://ecx.images-amazon.com/images/I/51PUO4RgQOL.jpg
49,Orphan's Destiny,Robert Buettner,9780316032070,$6.99,,NOVEL,ebook,2008-04-01,Orbit (US),http://ecx.images-amazon.com/images/I/51JHTWbbbwL.jpg
50,Orphan's Journey,Robert Buettner,9780316032056,$5.99,,NOVEL,ebook,2008-04-01,Orbit (US),http://ecx.images-amazon.com/images/I/51IGI3nEICL.jpg
51,Orphanage,Robert Buettner,9780316032063,$6.99,,NOVEL,ebook,2008-04-01,Orbit (US),http://ecx.images-amazon.com/images/I/51txLag%2BVLL.jpg
52,Blood Ties,Pamela Freeman,9780316032124,$8.99,,NOVEL,ebook,2008-04-07,Orbit (US),http://ecx.images-amazon.com/images/I/51Ibu0Oqe3L.jpg
53,The Digital Plague,Jeff Somers,9780316022101,$12.99,344,NOVEL,tp,2008-05-00,Orbit (US),http://ecx.images-amazon.com/images/I/518qWlJnMCL.jpg
54,The Last Wish,Andrzej Sapkowski,9780316029186,$6.99,359,COLLECTION,pb,2008-05-00,Orbit (US),http://ecx.images-amazon.com/images/I/51m9VB30tML.jpg
55,Winterbirth,Brian Ruckley,9780316068062,$7.99,655,NOVEL,pb,2008-05-00,Orbit (US),http://ecx.images-amazon.com/images/I/51-qxBPUzML.jpg
56,The Digital Plague,Jeff Somers,9780316032452,$6.99,,NOVEL,ebook,2008-05-12,Orbit (US),http://ecx.images-amazon.com/images/I/51dR8w0-MvL.jpg
57,Metal Swarm,Kevin J. Anderson,9780316021753,$7.99,xvi+639,NOVEL,pb,2008-06-00,Orbit (US),http://www.isfdb.org/wiki/images/9/92/MTLSWRMPLQ2008.jpg
58,Midnight Never Come,Marie Brennan,9780316020299,$14.99,379,NOVEL,tp,2008-06-00,Orbit (US),http://ecx.images-amazon.com/images/I/41XsYKxtJUL.jpg
59,Bloodheir,Brian Ruckley,9780316067706,$14.99,519,NOVEL,tp,2008-06-00,Orbit (US),http://ecx.images-amazon.com/images/I/51xIH3lFSIL.jpg
60,Bloodheir,Brian Ruckley,9780316032629,$6.99,,NOVEL,ebook,2008-06-03,Orbit (US),http://ecx.images-amazon.com/images/I/51vxmX1oIdL.jpg
61,Midnight Never Come,Marie Brennan,9780316032643,$9.99,,NOVEL,ebook,2008-06-09,Orbit (US),http://ecx.images-amazon.com/images/I/51omDOAMWkL.jpg
62,The Ashes of Worlds,Kevin J. Anderson,9780316007573,$25.99,xvii+491,NOVEL,hc,2008-07-00,Orbit (US),http://www.isfdb.org/wiki/images/e/eb/THSHSFWRLC2008.jpg
63,Use of Weapons,Iain M. Banks,9780316030571,$12.99,486,NOVEL,tp,2008-07-00,Orbit (US),http://www.isfdb.org/wiki/images/7/75/SFWPNSCQDT2008.jpg
64,Night Shift,Lilith Saintcrow,9780316001786,$6.99,327,NOVEL,pb,2008-07-00,Orbit (US),http://g-ecx.images-amazon.com/images/G/01/ciu/36/15/7179c0a398a038f0263cb110.L.jpg
65,The Ashes of Worlds,Kevin J. Anderson,9780316032711,$6.99,,NOVEL,ebook,2008-07-01,Orbit (US),http://ecx.images-amazon.com/images/I/411a5QELEzL.jpg
66,Night Shift,Lilith Saintcrow,9780316032728,$2.99,,NOVEL,ebook,2008-07-01,Orbit (US),http://ecx.images-amazon.com/images/I/51zyfzXKV4L.jpg
67,Vicious Circle,Mike Carey,9780446537605,$6.99,,NOVEL,ebook,2008-07-28,Orbit (US),http://ecx.images-amazon.com/images/I/51-N7V%2BaFUL.jpg
68,Bitten to Death,Jennifer Rardin,9780316022088,$12.99,301,NOVEL,tp,2008-08-00,Orbit (US),http://ecx.images-amazon.com/images/I/513TEG77R8L.jpg
69,Witch,Marie Brennan,9780316027069,$6.99,430,NOVEL,pb,2008-08-00,Orbit (US),http://www.isfdb.org/wiki/images/b/b0/WTCHBZQQLJ2008.jpg
70,Warrior,Marie Brennan,9780316027052,$6.99,405,NOVEL,pb,2008-08-00,Orbit (US),http://ecx.images-amazon.com/images/I/51wMijfihQL.jpg
71,Path of Revenge,Russell Kirkpatrick,9780316007153,$7.99,677,NOVEL,pb,2008-08-01,Orbit (US),http://ecx.images-amazon.com/images/I/41yQkK7APHL.jpg
72,Warrior,Marie Brennan,9780316032865,$6.99,,NOVEL,ebook,2008-08-01,Orbit (US),http://ecx.images-amazon.com/images/I/51EIkdwWosL.jpg
73,Witch,Marie Brennan,9780316032872,$6.99,,NOVEL,ebook,2008-08-01,Orbit (US),http://ecx.images-amazon.com/images/I/51ZsR39QGwL.jpg
74,Bitten to Death,Jennifer Rardin,9780316032919,$9.99,,NOVEL,ebook,2008-08-12,Orbit (US),http://ecx.images-amazon.com/images/I/51ODUTGKRxL.jpg
75,Hunter's Prayer,Lilith Saintcrow,9780316001762,$7.99,329,NOVEL,pb,2008-09-00,Orbit (US),http://ecx.images-amazon.com/images/I/413e3br5SwL.jpg
76,Debatable Space,Philip Palmer,9780316068093,$7.99,560,NOVEL,pb,2008-09-00,Orbit (US),http://www.isfdb.org/wiki/images/1/1e/DBTBLSPCJK2008.jpg
