,title,author,cover_image,publisher,cover_price,page_count,book_type,book_format,publication_date
0,The Devil You Know,Mike Carey,http://ecx.images-amazon.com/images/I/51uK2qcQoiL.jpg,Orbit (US),$6.99,,NOVEL,ebook,2007-07-10
1,The Devil's Right Hand,Lilith Saintcrow,http://ecx.images-amazon.com/images/I/51mYofAd-mL.jpg,Orbit (US),$6.99,391,NOVEL,pb,2007-09-00
2,Working for the Devil,Lilith Saintcrow,http://ecx.images-amazon.com/images/I/51VfQQlmhNL.jpg,Orbit (US),$6.99,384,NOVEL,pb,2007-09-00
3,The Innocent Mage,Karen Miller,http://images.amazon.com/images/P/0316067806.01.LZZZZZZZ.jpg,Orbit (US),$6.99,642,NOVEL,pb,2007-09-00
4,The Electric Church,Jeff Somers,http://ecx.images-amazon.com/images/I/41CX84CY9LL.jpg,Orbit (US),$12.99,353+[9],NOVEL,tp,2007-09-00
5,Winterbirth,Brian Ruckley,http://ecx.images-amazon.com/images/I/516mXcV7odL.jpg,Orbit (US),$14.99,541,NOVEL,tp,2007-09-00
6,Dead Man Rising,Lilith Saintcrow,http://ecx.images-amazon.com/images/I/516A2mF7OSL.jpg,Orbit (US),$6.99,x+380,NOVEL,tp,2007-09-00
7,Dead Man Rising,Lilith Saintcrow,http://ecx.images-amazon.com/images/I/414tppODUkL.jpg,Orbit (US),$7.99,,NOVEL,ebook,2007-09-01
8,The Devil's Right Hand,Lilith Saintcrow,http://ecx.images-amazon.com/images/I/51WcRu20T7L.jpg,Orbit (US),$6.99,,NOVEL,ebook,2007-09-01
9,Working for the Devil,Lilith Saintcrow,http://ecx.images-amazon.com/images/I/51BHGCs66GL.jpg,Orbit (US),$6.99,,NOVEL,ebook,2007-09-01
10,The Electric Church,Jeff Somers,http://ecx.images-amazon.com/images/I/51Bdzy0RcLL.jpg,Orbit (US),$6.99,,NOVEL,ebook,2007-09-25
11,Devices and Desires,K. J. Parker,http://images.amazon.com/images/P/0316003387.01.LZZZZZZZ.jpg,Orbit (US),$12.99,635,NOVEL,tp,2007-10-00
12,"Once Bitten, Twice Shy",Jennifer Rardin,http://ecx.images-amazon.com/images/I/51RHTblCwlL.jpg,Orbit (US),$12.99,291,NOVEL,tp,2007-10-00
13,The Awakened Mage,Karen Miller,http://ecx.images-amazon.com/images/I/51G%2BFGSYgbL.jpg,Orbit (US),$7.99,712,NOVEL,pb,date unknown
14,"Once Bitten, Twice Shy",Jennifer Rardin,http://ecx.images-amazon.com/images/I/51eHzqt4pFL.jpg,Orbit (US),$6.99,,NOVEL,ebook,2007-10-08
15,A Forest of Stars,Kevin J. Anderson,http://ecx.images-amazon.com/images/I/41Ch2zsMXXL.jpg,Orbit (US),$7.99,xvii+669,NOVEL,pb,2007-11-00
16,Hidden Empire,Kevin J. Anderson,http://ecx.images-amazon.com/images/I/41ndzQJw4ML.jpg,Orbit (US),$7.99,639,NOVEL,pb,2007-11-00
17,Horizon Storms,Kevin J. Anderson,http://ecx.images-amazon.com/images/I/514hu0sEbAL.jpg,Orbit (US),$7.99,xxvii+626,NOVEL,pb,2007-11-00
18,Of Fire and Night,Kevin J. Anderson,http://www.isfdb.org/wiki/images/2/29/FFRNDNGHTB2007.jpg,Orbit (US),$7.99,xiv+659,NOVEL,pb,2007-11-00
19,Scattered Suns,Kevin J. Anderson,http://ecx.images-amazon.com/images/I/51U7bKCWl8L.jpg,Orbit (US),$7.99,xvii+691,NOVEL,pb,2007-11-00
20,Evil for Evil,K. J. Parker,http://ecx.images-amazon.com/images/I/612f1Pcd8VL.jpg,Orbit (US),$12.99,684,NOVEL,tp,2007-11-00
